Name,Price,Link
"15.6"" FHD DELL Gaming Laptop PC: Intel i7 Quad Core! 16GB RAM ~ 1TB NVME SSD!",339.95,https://www.ebay.com/itm/116507650119?_skw=laptop&hash=item1b2065a847:g:8koAAOSw1rhn3DIb&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cwkSvjn09KIXE4GaWgqJo%2FvdRioVSGtPPDaswGvJ8nm4218mlM9azdptf%2FBhmZZPAhu0hlmsSOfpS0nzEJQkxUagoD6WGppIy7j%2Bbc2pusBOdUVya8UH39fvkDKKh6yX0Y9IWsVekBrQruk%2B2NIEwhudeJ6fmIi37%2BZE%2B1LQIr05TVQocBuIxyleWWlx7RV75PGiGPHNVDNt00fa3oGFLoNXJmhBobIuRFsj9RFFiJDg%3D%3D%7Ctkp%3ABk9SR6aN0YrBZQ
Lenovo Yoga 6th Gen ThinkPad 11e 2-in-1 Laptop Windows 11 Pro. 8GB RAM 256GB SSD,119.00,https://www.ebay.com/itm/305966728301?_skw=laptop&hash=item473d09c46d:g:APYAAOSwXAdnphxu&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fKz9WdTJulB5UMFGqkbri2%2FCKU%2BgDs%2FDkgZXM3DeYTaHuG3ghFLqGDfTy0WCJFbeXBUISSffy9bqMDNFxdbBjirELvKZPZNivWITrc1FGORztu1gPV2eiNWzETUQ3QiQ8U9wAgOFdXkb5J7%2B2AMfmZ%2FyDuUI2Hwhh0Mjo4IihR5epXd6r0475vNOmRTmDa0iDTpx1se1PEZE%2FrTfJBuYdhzfKuy3PO63OXK9Zh8b2bbJsVlBoPsQlmg3NwI1TXyYBlteuwk4W8DvEqUMjLvDSh%7Ctkp%3ABk9SR6aN0YrBZQ
Dell Latitude Laptop Computer PC 14 Core i5 16GB RAM 512GB Windows 11 Pro Office,199.88,https://www.ebay.com/itm/226656262464?_skw=laptop&hash=item34c5c41940:g:GH4AAOSwLAJn3FFp&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fBPfNbP6Rstp%2BLLi828t6AM6NlAS9CHWAe3y3Qm%2F%2BD7RBvG1bOiT%2FzTt%2Bd8p9O0rxV3BP48JvvvqmYlhnFa0uFHkWi18wciL57ZuQWeItCSZswWrbtb4bD1z1s1imDctpILYpCZOPlaa65vv7DlNJfY5S3NfWnEwFsi6plT4QoF8MYn6%2FQZveg8BV1DuH8V6J0tfk2MTFWA9VZgJyO1aay2BQT2Ytoo7s%2FQdbv9Fz64e8AO6tMpBePeB3XljiD%2FgHxP%2FOEsuqRIwvpkxSvs04D%7Ctkp%3ABk9SR6aN0YrBZQ
Laptop HP Windows 11 CORE i5 GEN 6 - 12TH GEN 32GB RAM 1TB SSD WEBCAM WIFI,219.07,https://www.ebay.com/itm/115777670869?_skw=laptop&hash=item1af4e30ed5:g:onIAAOSw17hk3WLf&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1ehFm0mK0aTJWlOeDTx9ic1e0%2Fhh4XOXKhcbmQnTsyxJEPmZGnVJkjKvF4V2aGMEP3Tv%2F90AmyXaRXmgpOL5uN3%2FaLMdv1f9uUSao3qWQof9JopvyG2c0k%2FB1XtggXCsy0q7Mjn7zaRvHJsv18GnxI1cgAuccV0kza%2F19Cc%2BRolsmREFTAr%2BnhT%2B%2Bmbi6MV1E1Dje29CP9dTlGkzOCWe1nkPhst5e7bjBspJy5r%2BUJWxw%3D%3D%7Ctkp%3ABk9SR6aN0YrBZQ
"Dell Laptop PC Computer 11.6"" Intel Celeron N4100 4GB RAM 64GB SSD Windows 10",77.58,https://www.ebay.com/itm/254170214367?_skw=laptop&hash=item3b2db9afdf:g:ipkAAOSwCmdn72mj&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fWjxEmQlIHlqy%2FO4%2BLsAp12SPZLPiISgiUsIsOk4t%2BzkNmxtO6ulgZEYTGvDs%2BI1d%2FBD91ZDbD3%2Bw1XJwzimr3acASUQcdO1y%2FkEbgTx5bjJw%2FV24kDEG%2FzJvzaNhZG4gHApz%2FEcJrT2Qe1GWQoAysa8rIV%2BPipHlKm1TxCFLUUf1V5%2B0iE6%2BVv84kkKl%2FC2qSL315IM7KuDKUBTqBwE0--YMA10mLhS%2F2QfWEbK08vju1wE5G%2B2%2BrDywQv4Q72xbxx5J1%2FIs433sPkVqqGCBQ%7Ctkp%3ABk9SR6aN0YrBZQ
"HP ProBook 14"" HD Laptop Computer Intel i5 Up To 32GB RAM 1TB SSD Windows 11 Pro",168.78,https://www.ebay.com/itm/286393092388?_skw=laptop&hash=item42ae5bc924:g:fjMAAOSw14BnzGG-&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1d1pm5LGV3qRY4q0NGF3eS2lTSq3SWGZoqfx9LlwwMQ06HTMCsjLQSbM71h1keBUDM9MN14ElISEJ5CBYi2%2B8towl58785%2FRdGu1J6Mz9FIW9RQSn6eSLH4BT9OK4mNFIq9FmN3q1Wi%2BDxpCVgymS40Sj%2F1F%2BVVcsYiBO1FoE0UZLLcBR%2FTbrCj02FMDkcjsMULekKPl0c7lFZNbOuk%2BP4funQo8dtJSln65cIxNxj2zjEtZ70La8KgUYED8ZVj0aygAKavRhmpaLrspn%2B%2BgkgO%7Ctkp%3ABk9SR6aN0YrBZQ
Dell Precision 7520 Business Laptop Core i7 3.8GHz 32GB 256GB SSD Windows 10,228.86,https://www.ebay.com/itm/256714410251?_skw=laptop&hash=item3bc55f090b:g:fpEAAOSwPI9n3~if&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cZY%2F3r6SuALPnFqEe4z%2FS%2FfrQlKACEFbRnRBavCrWFuClZ3LWj61VMjpsaHLFeQoJLCVkMw1pzNM0x3mkqapQCXYbjdCZsClY3ZMKxkbTCtjPg2qsPif%2BHnL9cXhXO1qbCovDP9BzFGsK78fA6DPpfF8l1xPDriZzbaZhDkSIhShbp560SetUVOegfm8KPQatwwMD78uuqnC7yXw5U3Ybzla7P4YjOz22Wm1gyWnTFbA%3D%3D%7Ctkp%3ABlBMUKaN0YrBZQ
"Dell Latitude Laptop PC Computer 11.6"" Intel Pentium Windows 10 4GB RAM 64GB SSD",86.11,https://www.ebay.com/itm/254646198216?_skw=laptop&hash=item3b4a189fc8:g:kSQAAOSwj6ZnUM0Q&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1evoOz%2BOwUA8Yv0bqTfD0seuneEkY6X9Jnberff3%2FTiDt2s1F4pjCB4OGcTTxsuvAHE4GQVrztFOdB32Vn45H0k0xaSvygFAmveevH%2F5HzNXE8pjRnGv59ApcerRDx6xR2xbsSxWxp9wusymGwcTWHJDMmXS9U3YWw4j4xn62weSB8QEnZk0C80xKLa8i%2FpPHOuykKxBCbcFitEQJ3zx%2BBZvDEiNHD213m6zFYzcXPh0w%3D%3D%7Ctkp%3ABlBMUKaN0YrBZQ
"Lenovo Yoga 11.6"" 2-in-1 Touchscreen Laptop Intel 4GB RAM 256GB Windows 10",117.12,https://www.ebay.com/itm/284813504070?_skw=laptop&hash=item4250352e46:g:N~kAAOSwFxVn5j-Q&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cOG15I%2FYiPcEiI3%2BCbQabZaa2JWcPT1x2NvIVSQns4QJi%2BS1B4iyH5H4Yt%2FB5xReJO6uXpsFTB91NseS7X2yQNqCfLJ4JgdzC8kT21Xzd7MJJ%2BJ2jydsahxdJ0BvBm4fhAC3h0XmbB0QjfUeBhqMTWFJ0V5uxgiSpcSb0XjxOniDsBxkQYLT3h9tFNdt7mVEX5zZ1sKhOBozG4J7FprmtheA8r07Xjd8aFqX5WNWa4oQ%3D%3D%7Ctkp%3ABlBMUKiN0YrBZQ
"HP ProBook 640 G5 Laptop 14"" Windows 11 Quad-Core i5 4.1GHz 8GB RAM 128GB SSD",171.54,https://www.ebay.com/itm/254582474636?_skw=laptop&hash=item3b464c478c:g:EhEAAOSwM6hn0vKp&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cm%2FeN%2FkS717ls23jNZs%2Bj%2FMZwD1VuoteaIDpe79SRxIhTkoqCJN3k1SVfYRJiMr2EJDGpr939b9l0929om9L86YH7ak4Ft8sNCfW9TejOsS4gkR4foj1J4dSDTG%2F4eTz5s1Ta5lv143yVK3xx0evRo3Ypz%2BY5ueGHTEuZYwKxRDTbz81BokDQ3KmDd6p4Onww4MJkvSA%2BVovYPYlQjZDT3gJC2KcihNGb9ewFXu6QoMA%3D%3D%7Ctkp%3ABlBMUKiN0YrBZQ
